Date,Open*,High,Low,Close**,Volume,Market Cap
2018-09-06,0.080992,0.080992,0.069439,0.072584,"1,203","2,826,116"
2018-09-05,0.084617,0.089595,0.068758,0.080881,"3,639","3,149,192"
2018-09-04,0.077819,0.095853,0.070847,0.084548,"12,235","3,291,978"
2018-09-03,0.062718,0.086371,0.061571,0.077818,"7,353","3,029,938"
2018-09-02,0.07222,0.080877,0.061583,0.062733,"15,208","2,442,564"
2018-09-01,0.065557,0.078234,0.064071,0.072186,"1,792","2,810,623"
2018-08-31,0.069803,0.070014,0.060716,0.066644,"3,413","2,594,871"
2018-08-30,0.063178,0.069794,0.062649,0.069735,822,"2,710,542"
2018-08-29,0.067822,0.086069,0.062488,0.063143,"7,312","2,454,338"
2018-08-28,0.063082,0.070279,0.062076,0.067768,"2,560","2,632,654"
2018-08-27,0.058464,0.0632,0.056355,0.0632,896,"2,455,200"
2018-08-26,0.053208,0.067418,0.052249,0.058491,"2,072","2,272,268"
2018-08-25,0.057776,0.058922,0.052586,0.053094,"1,333","2,062,605"
2018-08-24,0.052083,0.05807,0.047774,0.05788,800,"2,248,528"
2018-08-23,0.053992,0.054235,0.051321,0.052041,166,"2,019,471"
2018-08-22,0.052311,0.056512,0.051225,0.053979,"1,637","2,094,664"
2018-08-21,0.054674,0.055525,0.04861,0.0523,"4,773","2,029,534"
2018-08-20,0.055485,0.062418,0.054679,0.054756,909,"2,124,820"
2018-08-19,0.051781,0.055879,0.051124,0.055576,675,"2,156,629"
2018-08-18,0.057536,0.05784,0.051836,0.051855,644,"2,012,257"
2018-08-17,0.04436,0.059286,0.044255,0.057404,"1,693","2,227,596"
2018-08-16,0.048868,0.049235,0.042492,0.044357,426,"1,721,272"
2018-08-15,0.044779,0.055981,0.044768,0.048937,588,"1,899,012"
2018-08-14,0.052353,0.052353,0.043479,0.044816,"1,500","1,739,083"
2018-08-13,0.053614,0.056521,0.04882,0.052401,609,"2,033,426"
2018-08-12,0.050082,0.054673,0.046038,0.053633,"1,187","2,081,242"
2018-08-11,0.049929,0.055473,0.048714,0.050232,"5,830","1,949,276"
2018-08-10,0.055787,0.056048,0.049261,0.049977,725,"1,939,373"
2018-08-09,0.054077,0.056921,0.053192,0.055845,"1,030","2,167,075"
2018-08-08,0.05895,0.060324,0.053076,0.053954,"1,525","2,093,714"
2018-08-07,0.061694,0.06362,0.058885,0.058885,717,"2,285,066"
2018-08-06,0.065694,0.066977,0.060706,0.061718,474,"2,394,967"
2018-08-05,0.062217,0.065715,0.061326,0.065615,140,"2,546,199"
2018-08-04,0.071471,0.071918,0.061713,0.062189,"1,159","2,413,256"
2018-08-03,0.072104,0.072104,0.069212,0.071368,193,"2,769,454"
2018-08-02,0.071687,0.072361,0.066163,0.072112,"1,550","2,798,309"
2018-08-01,0.073511,0.076241,0.06575,0.071648,"2,600","2,780,319"
2018-07-31,0.078089,0.078383,0.070142,0.073446,"1,334","2,850,083"
2018-07-30,0.08195,0.08195,0.074603,0.078237,"2,526","3,036,007"
2018-07-29,0.083269,0.084657,0.075491,0.081902,"3,410","3,178,237"
2018-07-28,0.083204,0.083548,0.079661,0.082935,216,"3,218,315"
2018-07-27,0.075302,0.083061,0.071843,0.083044,"4,172","3,222,568"
2018-07-26,0.070393,0.075343,0.067315,0.075343,679,"2,923,709"
2018-07-25,0.083264,0.093229,0.070434,0.070434,"1,038","2,733,221"
2018-07-24,0.079939,0.09008,0.074847,0.084835,"5,714","3,292,037"
2018-07-23,0.082511,0.086336,0.079819,0.079821,"10,135","3,097,487"
2018-07-22,0.082973,0.085958,0.082265,0.082606,"6,394","3,205,563"
2018-07-21,0.081499,0.08644,0.080453,0.083068,667,"3,223,495"
2018-07-20,0.088088,0.088619,0.080985,0.081518,"1,232","3,163,312"
2018-07-19,0.085203,0.091055,0.081555,0.088021,"1,865","3,415,675"
2018-07-18,0.0916,0.094712,0.085243,0.085243,916,"3,307,885"
2018-07-17,0.078598,0.093313,0.078377,0.091639,"7,141","3,556,096"
2018-07-16,0.072644,0.079291,0.071825,0.078783,"1,729","3,057,195"
2018-07-15,0.058027,0.081059,0.057974,0.072563,"5,160","2,815,846"
2018-07-14,0.081403,0.082002,0.057703,0.058046,165,"2,252,482"
2018-07-13,0.084656,0.085149,0.080782,0.081629,104,"3,167,658"
2018-07-12,0.086277,0.086277,0.077761,0.084572,"1,818","3,281,851"
2018-07-11,0.077879,0.08679,0.077701,0.086296,"1,708","3,348,755"
2018-07-10,0.09076,0.092423,0.077805,0.077852,"4,247","3,021,079"
2018-07-09,0.08717,0.094846,0.082871,0.09167,"4,594","3,557,283"
2018-07-08,0.094741,0.095497,0.086329,0.087188,"2,383","3,383,354"
2018-07-07,0.09381,0.095154,0.089782,0.094846,983,"3,680,540"
2018-07-06,0.095642,0.095689,0.081135,0.09397,"2,360","3,646,516"
2018-07-05,0.096441,0.098146,0.083382,0.095659,"2,919","3,712,078"
2018-07-04,0.085079,0.098215,0.084238,0.096235,185,"3,734,449"
2018-07-03,0.098877,0.10354,0.074471,0.085111,"3,361","3,302,755"
2018-07-02,0.089237,0.099801,0.088725,0.099311,707,"3,853,802"
2018-07-01,0.097196,0.102329,0.08251,0.089153,"5,848","3,459,602"
2018-06-30,0.098633,0.1042,0.096489,0.09716,"6,662","3,770,340"
2018-06-29,0.096464,0.099871,0.092063,0.098409,"3,317","3,818,788"
2018-06-28,0.100241,0.104799,0.095858,0.096402,912,"3,740,925"
2018-06-27,0.099313,0.102023,0.097356,0.100205,"1,707","3,888,486"
2018-06-26,0.106906,0.108323,0.094268,0.099353,"7,402","3,855,428"
2018-06-25,0.108705,0.11071,0.105798,0.106906,"6,542","4,148,521"
2018-06-24,0.109838,0.110908,0.102233,0.108915,"2,871","4,226,481"
2018-06-23,0.106722,0.111472,0.104942,0.109853,"1,713","4,262,880"
2018-06-22,0.122075,0.122179,0.103457,0.106708,"5,952","4,140,837"
2018-06-21,0.125376,0.127694,0.115781,0.12221,"5,086","4,742,397"
2018-06-20,0.12771,0.128754,0.121182,0.12535,"4,594","4,864,246"
2018-06-19,0.11924,0.128749,0.119203,0.127631,"5,028","4,952,761"
2018-06-18,0.124491,0.125077,0.108333,0.119304,"4,881","4,629,629"
2018-06-17,0.111965,0.125835,0.104304,0.124918,"3,896","4,847,482"
